start_lat,start_lng,end_lat,end_lng,start_station_id,end_station_id,weekday_name,cnt
37.7896,-122.4008,37.7896,-122.4008,21.0,21.0,Friday,8
37.7973,-122.2653,37.7962,-122.2794,163.0,187.0,Wednesday,8
37.7399,-122.3857,37.7399,-122.3857,361.0,361.0,Tuesday,8
37.8087,-122.2699,37.8087,-122.2699,183.0,183.0,Wednesday,8
37.8023,-122.4245,37.8043,-122.4335,441.0,400.0,Sunday,8
37.8022,-122.4018,37.8022,-122.4018,500.0,500.0,Wednesday,8
37.8046,-122.4021,37.7964,-122.3946,462.0,12.0,Saturday,8
37.7766,-122.4174,37.7766,-122.4174,58.0,58.0,Wednesday,8
37.7829,-122.3879,37.7829,-122.3879,38.0,38.0,Thursday,8
37.8736,-122.2831,37.8736,-122.2831,250.0,250.0,Friday,8
37.7829,-122.3879,37.7829,-122.3879,38.0,38.0,Monday,8
37.7737,-122.4116,37.7737,-122.4116,78.0,78.0,Sunday,8
37.7779,-122.397,37.7779,-122.397,453.0,453.0,Sunday,8
37.7317,-122.4511,37.7317,-122.4511,433.0,433.0,Sunday,8
37.8027,-122.4136,37.8027,-122.4136,371.0,371.0,Friday,8
37.8027,-122.4136,37.8027,-122.4136,371.0,371.0,Monday,8
37.7908,-122.4326,37.7908,-122.4326,492.0,492.0,Sunday,8
37.7531,-122.4054,37.7531,-122.4054,459.0,459.0,Sunday,8
37.7915,-122.391,37.7915,-122.391,23.0,23.0,Saturday,8
37.7577,-122.3919,37.7577,-122.3919,130.0,130.0,Saturday,8
37.3568,-121.8959,37.3568,-121.8959,402.0,402.0,Saturday,8
37.7734,-122.4273,37.7734,-122.4273,56.0,56.0,Monday,8
37.8658,-122.2674,37.8658,-122.2674,252.0,252.0,Saturday,8
37.8048,-122.4032,37.8048,-122.4032,6.0,6.0,Monday,8
37.7976,-122.4235,37.7976,-122.4235,496.0,496.0,Saturday,8
37.7788,-122.4159,37.7633,-122.4074,43.0,336.0,Sunday,8
37.8625,-122.2648,37.8625,-122.2648,266.0,266.0,Friday,8
37.7731,-122.4391,37.7733,-122.4712,71.0,485.0,Sunday,8
37.7964,-122.3946,37.7964,-122.3946,12.0,12.0,Monday,8
37.7952,-122.274,37.7952,-122.274,203.0,203.0,Tuesday,8
37.7829,-122.3879,37.7829,-122.3879,38.0,38.0,Wednesday,8
37.7881,-122.3919,37.7881,-122.3919,27.0,27.0,Monday,8
37.7554,-122.3888,37.7554,-122.3888,355.0,355.0,Saturday,8
37.8013,-122.2626,37.8013,-122.2626,186.0,186.0,Tuesday,8
37.7964,-122.3946,37.7964,-122.3946,12.0,12.0,Friday,8
37.7723,-122.39299999999999,37.7723,-122.39299999999999,92.0,92.0,Friday,8
37.8026,-122.4363,37.8023,-122.4245,399.0,441.0,Saturday,8
37.8043,-122.4335,37.8026,-122.4363,400.0,399.0,Saturday,8
37.7723,-122.39299999999999,37.7723,-122.39299999999999,92.0,92.0,Wednesday,8
37.7765,-122.4113,37.7745,-122.4094,61.0,60.0,Thursday,8
37.7873,-122.4167,37.7873,-122.4167,369.0,369.0,Thursday,8
37.8003,-122.4259,37.8003,-122.4259,478.0,478.0,Monday,8
37.3427,-121.8956,37.3427,-121.8956,305.0,305.0,Saturday,8
37.8046,-122.2717,37.8046,-122.2717,7.0,7.0,Friday,8
37.8094,-122.26799999999999,37.8123,-122.2608,182.0,195.0,Friday,8
37.7945,-122.3948,37.7945,-122.3948,16.0,16.0,Sunday,8
37.7759,-122.3932,37.7759,-122.3932,81.0,81.0,Sunday,8
37.3209,-121.8763,37.3209,-121.8763,443.0,443.0,Friday,8
37.8008,-122.2749,37.8008,-122.2749,202.0,202.0,Friday,8
37.3209,-121.8763,37.3209,-121.8763,443.0,443.0,Wednesday,8
37.7759,-122.3932,37.8048,-122.4032,81.0,6.0,Sunday,8
37.7759,-122.3932,37.7954,-122.3942,81.0,15.0,Saturday,8
37.7659,-122.4493,37.7659,-122.4493,440.0,440.0,Friday,8
37.7954,-122.3942,37.8048,-122.4032,15.0,6.0,Saturday,8
37.7873,-122.4167,37.7873,-122.4167,369.0,369.0,Saturday,8
37.8678,-122.2659,37.8678,-122.2659,247.0,247.0,Friday,8
37.7817,-122.4928,37.7817,-122.4928,516.0,516.0,Sunday,8
37.8688,-122.2588,37.8688,-122.2588,239.0,239.0,Tuesday,8
37.7818,-122.4676,37.7818,-122.4676,490.0,490.0,Sunday,8
37.8123,-122.2608,37.8123,-122.2608,195.0,195.0,Monday,8
37.8123,-122.2608,37.8123,-122.2608,195.0,195.0,Tuesday,8
37.7864,-122.4049,37.7898,-122.3946,3.0,22.0,Sunday,8
37.8468,-122.2914,37.8468,-122.2914,157.0,157.0,Thursday,8
37.7873,-122.4133,37.7873,-122.4133,370.0,370.0,Friday,8
37.755,-122.4257,37.7589,-122.4125,131.0,129.0,Friday,8
37.7731,-122.4391,37.7731,-122.4391,71.0,71.0,Thursday,8
37.7942,-122.4029,37.7913,-122.3991,13.0,20.0,Friday,8
37.8005,-122.2721,37.8005,-122.2721,162.0,162.0,Friday,8
37.7811,-122.4117,37.7811,-122.4117,44.0,44.0,Sunday,8
37.7633,-122.4219,37.7633,-122.4219,109.0,109.0,Saturday,8
37.7811,-122.4117,37.7811,-122.4117,44.0,44.0,Tuesday,8
37.7779,-122.42299999999999,37.7945,-122.3948,468.0,16.0,Saturday,8
37.773,-122.5091,37.7733,-122.4712,521.0,485.0,Saturday,8
37.773,-122.5091,37.773,-122.5091,521.0,521.0,Wednesday,8
37.7945,-122.3948,37.7766,-122.4174,16.0,58.0,Saturday,8
37.8005,-122.2721,37.8005,-122.2721,162.0,162.0,Thursday,8
